"SITE_ID","RT_NLA","EPA_REG","WSA_ECO9","LAKE_ORIGIN","PTL","NTL","CHLA","SECMEAN"
"NLA06608-0001","REF","Region_8","WMT","NATURAL",6,151,0.24,6.4
"NLA06608-0002","SO-SO","Region_4","CPL","MAN-MADE",36,695,3.84,0.55
"NLA06608-0003","TRASH","Region_6","CPL","NATURAL",43,738,16.96,0.71
"NLA06608-0004","SO-SO","Region_8","WMT","MAN-MADE",18,344,4.6,1.8
"NLA06608-0006","REF","Region_1","NAP","MAN-MADE",7,184,4.08,3.21
"NLA06608-0007","REF","Region_5","UMW","NATURAL",8,493,2.43,3.15
"NLA06608-0008","SO-SO","Region_7","TPL","MAN-MADE",66,801,30.24,0.79
"NLA06608-0010","SO-SO","Region_5","UMW","NATURAL",10,473,4.38,4.48
"NLA06608-0012","TRASH","Region_6","SPL","MAN-MADE",159,1026,4.9,0.31
"NLA06608-0013","SO-SO","Region_2","CPL","MAN-MADE",28,384,16.03,0.65
"NLA06608-0014","TRASH","Region_8","TPL","NATURAL",175,4147,8.75,0.85
"NLA06608-0015","SO-SO","Region_6","XER","MAN-MADE",109,470,20,0.37
"NLA06608-0016","SO-SO","Region_7","SPL","MAN-MADE",6,490,13,0.54
"NLA06608-0019","TRASH","Region_8","NPL","NATURAL",801,7047,4.03,0.35
"NLA06608-0020","REF","Region_5","TPL","MAN-MADE",30,605,20.24,0.69
"NLA06608-0021","SO-SO","Region_2","NAP","NATURAL",7,390,2.29,7.1
"NLA06608-0023","REF","Region_6","SPL","MAN-MADE",12,349,2.78,0.95
"NLA06608-0024","SO-SO","Region_6","CPL","MAN-MADE",35,860,44.15,0.9
"NLA06608-0025","REF","Region_4","SAP","MAN-MADE",10,195,1.3,3.55
"NLA06608-0029","SO-SO","Region_3","CPL","MAN-MADE",247,2106,123.12,0.27
"NLA06608-0031","SO-SO","Region_5","SAP","MAN-MADE",32,428,5.26,0.98
"NLA06608-0033","TRASH","Region_10","WMT","NATURAL",67,835,8.92,0.7
"NLA06608-0036","REF","Region_5","TPL","MAN-MADE",8,178,5.07,2.23
"NLA06608-0037","TRASH","Region_1","NAP","NATURAL",14,239,8.02,2.9
"NLA06608-0038","TRASH","Region_1","NAP","NATURAL",4,158,4.33,4.45
"NLA06608-0041","SO-SO","Region_3","SAP","MAN-MADE",1,476,0.88,9.48
"NLA06608-0042","SO-SO","Region_8","WMT","MAN-MADE",15,213,2.21,3.38
"NLA06608-0043","SO-SO","Region_5","UMW","NATURAL",9,645,5.41,1.85
"NLA06608-0044","TRASH","Region_7","SPL","NATURAL",601,4108,135.61,0.12
